업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
휴게음식점,2014-08-06,GS25 논현영동,서울특별시 강남구 학동로2길 19  지상1층 (논현동),서울특별시 강남구 논현동 141번지 7호  ,3.3,02  -3446-3806,2014-08-06,6110,135-822,2014-08-06,편의점
휴게음식점,2014-08-06,GS25신사강남,서울특별시 강남구 압구정로2길 9  지상1층 (신사동),서울특별시 강남구 신사동 526번지 9호  ,3.3,02  -511 -9947,2016-07-12,6027,135-888,2014-08-06,편의점
휴게음식점,2014-08-11,베이크 스토리,서울특별시 강남구 학동로 지하 180  지하2층 7호선학동역2003호 (논현동),서울특별시 강남구 논현동 279번지 67호  ,17.54,070 -4681-6473,2014-08-11,6112,135-010,2014-08-11,과자점
휴게음식점,2014-08-12,엠엠티에이치 014(MMTH 014),서울특별시 강남구 도산대로 542  1층 102호 (청담동  우산빌딩),서울특별시 강남구 청담동 53번지 우산빌딩 1층 102호,15.22,010 -4431-3848,2014-08-12,6071,135-952,2014-08-12,커피숍
휴게음식점,2014-08-12,고구마명가 강남구청역점,서울특별시 강남구 학동로 지하 346 (삼성동  지하4층),서울특별시 강남구 삼성동 111번지 44호 지하4층 ,59,010 -5638-7520,2016-04-28,6099,135-090,2014-08-12,철도역구내
휴게음식점,2014-08-13,호박방커피,서울특별시 강남구 삼성로81길 25  지상1층 (대치동),서울특별시 강남구 대치동 901번지 64호  ,6,02  -562 -5855,2014-08-13,6196,135-841,2014-08-13,커피숍
휴게음식점,2014-08-14,(주)할리스커피 강남역점,서울특별시 강남구 강남대로 402  지하1 지상1층 (역삼동),서울특별시 강남구 역삼동 820번지 11호  ,609.97,0221-8871-00,2017-01-20,6134,135-932,2015-06-05,커피숍
휴게음식점,2014-08-14,(주)공차코리아 도곡점,서울특별시 강남구 언주로30길 21  A동 105-1호 (도곡동  아카데미스위트),서울특별시 강남구 도곡동 467번지 7호  ,45.1,0277-9775-8,2014-11-12,6292,135-856,2014-08-14,커피숍
휴게음식점,2014-08-18,아사이베리쿡,서울특별시 강남구 테헤란로 517  지하1층 (삼성동  현대백화점 무역센터점),서울특별시 강남구 삼성동 159번지 7호 현대백화점 무역센터점 지하1층 ,10,--,2014-08-18,6164,135-090,2014-08-18,백화점
휴게음식점,2014-08-18,디렉터스필름(DIRECTORs),서울특별시 강남구 강남대로110길 31  지상1층 (역삼동),서울특별시 강남구 역삼동 615번지 18호  ,132.1,02  -518 -1410,2015-11-20,6124,135-907,2014-08-18,다방
휴게음식점,2014-08-19,아워 948,서울특별시 강남구 강남대로54길 9  3층 (도곡동),서울특별시 강남구 도곡동 946번지 20호 3층 ,388.44,02 3-462 -9191,2014-08-19,6258,135-860,2014-08-19,커피숍
휴게음식점,2014-08-19,더(THE)374,서울특별시 강남구 헌릉로571길 46-5  지하1층 (세곡동),서울특별시 강남구 세곡동 374번지 0호 지하1층 ,215.53,--,2014-08-19,6376,135-190,2014-08-19,일반조리판매
휴게음식점,2014-08-21,요거프레소 강남구청점,서울특별시 강남구 선릉로 714  지상1층 102호 (청담동),서울특별시 강남구 청담동 40번지 25호 지상1층 102호,29.7,--,2014-08-21,6065,135-951,2014-08-21,커피숍
