업종명,허가(신고)일,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,영업자시작일,우편번호(도로명),우편번호(지번),소재지시작일,업태명
위탁급식영업,2014-12-02,씨제이프레시웨이(주)나무병원점,서울특별시 강남구 논현로 627  A동 지상10층 (논현동  유현빌딩),서울특별시 강남구 논현동 175번지 10호 유현빌딩 지상10층 A동 ,155.88,--,2016-10-20,6117,135-826,2014-12-02,위탁급식영업
위탁급식영업,2014-12-02,(주)푸드인,서울특별시 강남구 봉은사로18길 34  지하1층 (역삼동),서울특별시 강남구 역삼동 614번지 6호  ,114,02  -2231-0392,2015-05-11,6127,135-907,2014-12-02,위탁급식영업
위탁급식영업,2014-12-03,(주)아워홈 대성학원강남점,서울특별시 강남구 테헤란로4길 39  지하2층 (역삼동),서울특별시 강남구 역삼동 827번지 15호  ,1169.5,080 -234 -7575,2015-08-28,6240,135-935,2014-12-03,위탁급식영업
위탁급식영업,2014-12-05,씨제이프레시웨이(주) 도화엔지니어링,서울특별시 강남구 삼성로 438  지하1층 (대치동  도화타워),서울특별시 강남구 대치동 942번지 1호  ,904.06,02  -6323-4980,2016-10-28,6178,135-845,2014-12-05,위탁급식영업
위탁급식영업,2015-01-12,(주)명성에프엠씨 다이소본사점,서울특별시 강남구 도곡로 176  지상4층 (도곡동),서울특별시 강남구 도곡동 545번지 7호 한웰빌딩 지상4층 ,272.38,--,2015-01-12,6261,135-857,2015-01-12,위탁급식영업
위탁급식영업,2015-01-12,(주)명성에프엠씨 한일맨파워점,서울특별시 강남구 논현로26길 16  지상1층 (도곡동),서울특별시 강남구 도곡동 450번지 0호 지상1층 ,122.4,--,2015-01-12,6302,135-855,2015-01-12,위탁급식영업
위탁급식영업,2015-02-27,조은푸드,서울특별시 강남구 언주로 517  KT동 14층 (역삼동  KT영동지사),서울특별시 강남구 역삼동 675번지 3호  ,165,0109-2722-985,2016-03-17,6139,135-915,2015-02-27,위탁급식영업
위탁급식영업,2015-02-27,(주)엘에스씨푸드 경기여자고등학교,서울특별시 강남구 삼성로 29  지상1층 (개포동),서울특별시 강남구 개포동 152번지  ,260.14,02  -3392-0455,2015-11-19,6324,135-800,2015-02-27,위탁급식영업
위탁급식영업,2015-02-27,가람푸드써비스(주)경기고등학교,서울특별시 강남구 영동대로 643 (삼성동  경기고등학교),서울특별시 강남구 삼성동 74번지 4호  ,174.9,02  -573 -8215,2015-02-27,6086,135-870,2015-02-27,위탁급식영업
위탁급식영업,2015-03-04,키즈밀 라트어학원점,서울특별시 강남구 논현로 164 (도곡동),서울특별시 강남구 도곡동 410번지 5호  ,25,031 - 388-3761,2015-03-04,6296,135-854,2015-03-04,위탁급식영업
위탁급식영업,2015-03-12,현대그린푸드 현대모비스 본사,서울특별시 강남구 테헤란로 203  지하1층 (역삼동),서울특별시 강남구 역삼동 679번지 4호  ,1331,031 -525 -2525,2015-03-12,6141,135-916,2015-03-12,위탁급식영업
위탁급식영업,2015-04-01,카이트타워구내식당,서울특별시 강남구 테헤란로 306  지하1층 (역삼동  카이트타워 ),서울특별시 강남구 역삼동 706번지 1호 카이트타워 지하1층 ,436.89,0233-9760-00,2016-04-05,6210,135-918,2015-04-01,위탁급식영업
위탁급식영업,2015-04-16,빈브라더스,서울특별시 강남구 영동대로 417  지하2층 (대치동  오토웨이타워),서울특별시 강남구 대치동 948번지  ,314.6,0262-0478-88,2015-04-16,6182,135-847,2015-04-16,위탁급식영업
위탁급식영업,2015-04-20,오라클 푸드,서울특별시 강남구 선릉로111길 10  3층 (논현동),서울특별시 강남구 논현동 269번지 17호  ,139.46,010 -4488-3111,2015-04-20,6103,135-833,2015-04-20,위탁급식영업
위탁급식영업,2015-04-23,SI카페테리아,서울특별시 강남구 도산대로 449  지하2층 (청담동  신세계인터내셔날 오피스),서울특별시 강남구 청담동 97번지 5호  ,617.1,0105-3272-947,2016-04-14,6015,135-517,2015-04-23,위탁급식영업
위탁급식영업,2015-06-17,씨제이프레시웨이(주) 강남차병원 여성의학연구소점,서울특별시 강남구 봉은사로 178 (역삼동),서울특별시 강남구 역삼동 606번지 4호  ,71,02  -3468-3485,2016-10-19,6125,135-907,2015-06-17,위탁급식영업
위탁급식영업,2015-06-17,씨제이프레시웨이(주) 강남차병원점,서울특별시 강남구 논현로 566 (역삼동),서울특별시 강남구 역삼동 650번지 6호  ,258,02  -3468-3188,2016-10-19,6135,135-913,2015-06-17,위탁급식영업
위탁급식영업,2015-07-06,송도푸드시스템(주) 강남구도시관리공단,서울특별시 강남구 삼성로 628  지하1층 (삼성동),서울특별시 강남구 삼성동 66번지  ,166.43,02  -430 -9593,2015-07-06,6085,135-870,2015-07-06,위탁급식영업
위탁급식영업,2015-09-01,(주)에스엔제이푸드,서울특별시 강남구 삼성로64길 16  4층 (대치동  서울아카데미),서울특별시 강남구 대치동 988번지 5호  ,100,0318-0692-452,2015-09-01,6191,135-849,2015-09-01,위탁급식영업
위탁급식영업,2015-09-11,이든푸드 서비스 강남수도사업소점,서울특별시 강남구 양재천로 199  지하1층 (도곡동  강남수도사업소),서울특별시 강남구 도곡동 459번지 4호  ,70,0292-8925-0,2015-09-11,6300,135-855,2015-09-11,위탁급식영업
위탁급식영업,2015-09-17,성주디앤디 강남점,서울특별시 강남구 언주로150길 4  5층 (논현동  성주그룹빌딩 별관),서울특별시 강남구 논현동 97번지 27호  ,159.8,0269-6692-74,2015-09-17,6054,135-819,2015-09-17,위탁급식영업
위탁급식영업,2015-12-11,나인프라임푸드(주)경암빌딩점,서울특별시 강남구 테헤란로 501  지하1층 (삼성동),서울특별시 강남구 삼성동 157번지 27호 지하1층 ,733.3,0258-2909-0,2015-12-11,6168,135-880,2015-12-11,위탁급식영업
